Metro Propensity,BRT Propensity,BikeShare Propensity,Wealth,Sustainability,Population,Congestion,Sprawl,Network Density
0.0866242951,0.6694165665,0.4085032161,0.4031234174,0.3942601087,0.0664245489,0.5897544747,0.4004648136,0.2497642163
0.7444695048,0.1047092458,0.459971917,0.4561687173,0.6648247354,0.9270683187,0.6886867848,0.7101364635,0.430730873
0.7937985767,0.2541277473,0.5079586209,0.4371955451,0.5886403221,0.7770137249,0.7384137521,0.5906124713,0.594050911
0.4731155046,0.1961571948,0.4122208594,0.3501758308,0.587416109,0.6559029371,0.6874890868,0.8697121409,0.3663012943
0.4363651652,0.0980861306,0.4039157647,0.3936876844,0.5527480684,0.6826308116,0.6598615391,0.6294909355,0.3132199564
0.4679953163,0.1420134091,0.3564951844,0.3287993812,0.6218812771,0.5407528683,0.8096909845,0.5917408717,0.2295348708
0.3477335913,0.0834365508,0.8630124706,0.2818252704,0.6941974107,0.482783871,0.5484828972,0.6213338897,0.3740492123
0.3226992795,0.0663053845,0.4084709532,0.2871879222,0.6824076969,0.4422078436,0.5798331644,0.6866882385,0.4177507716
0.101001613,0.0702703224,0.399222509,0.2912460596,0.7324494155,0.4770369362,0.5331410076,0.709286917,0.3032371119
0.2488254251,0.1591670553,0.4754788735,0.2920734845,0.7153856083,0.432897486,0.6414068873,0.6618098593,0.4075730956
0.4869534462,0.0637174543,0.393398842,0.299610481,0.8475179282,0.3849602475,0.5783523706,0.8187504596,0.2287307713
0.1392817876,0.0614937103,0.3833122284,0.2632624965,0.7446149317,0.3676238435,0.5692425582,0.6358071688,0.3061629284
0.2221890554,0.0569174683,0.385558376,0.276916273,0.750081096,0.3094111003,0.5801912563,0.6966919238,0.3452831528
0.2259763514,0.3052865722,1,0.2960999357,0.7378264486,0.4225729184,0.5851349079,0.6942753219,0.4104166411
0.2844824777,0.0781927464,0.6220263576,0.2734292324,0.7682285038,0.3324807576,0.5793382982,0.6474112713,0.3735017548
0.1759644339,0.260915281,0.392817084,0.2699449622,0.7290604984,0.3353213043,0.5673302287,0.6790509248,0.3463972609
0.122972139,0.0579802096,0.3803538775,0.271281792,0.7149670657,0.3047213736,0.5681659086,0.6411518822,0.3633365411
0.2289306078,0.0574900053,0.3854610138,0.275871818,0.7520001281,0.2793759203,0.57429745,0.7654059993,0.1297178994
0.0842961729,0.4028451022,0.3910180323,0.2868170263,0.7609686589,0.3042028604,0.563925538,0.7123517062,0.2190842597
0.0816981996,0.083654149,0.8212528567,0.2772846221,0.7793230739,0.2901139195,0.5637155971,0.720986569,0.2476961532
0.1684868652,0.3386875683,0.3954054258,0.3031773026,0.8983988203,0.3197109409,0.5490995134,0.756595313,0.1704270995
0.3595199648,0.1606845319,0.3896317794,0.2724601015,0.6888915338,0.2498679934,0.5702949624,0.603667013,0.3179753388
0.2202514403,0.0801560734,0.6669574924,0.3202162197,0.7234906264,0.3380622168,0.4892223489,0.6718114205,0.3958008785
0.2151152936,0.067446961,0.4209716874,0.2769589746,0.7084993165,0.2950601582,0.4146178355,0.6425312849,0.3157017363
0.2226943304,0.0588401629,0.394077869,0.2839395818,0.6855848089,0.2988240648,0.6500417075,0.6800488041,0.2854412523
0.103334321,0.4472613519,0.3925514084,0.2872347043,0.8014635635,0.3229604384,0.5860188047,0.7918220423,0.0756169035
0.1110300206,0.1316021532,0.4062512142,0.2632576183,0.628634171,0.2860169608,0.5278574521,0.6109873154,0.3788407821
0.1442260826,0.0650998972,0.4150639496,0.2898838412,0.8764874139,0.2992752726,0.5884130573,0.8236994753,0
0.0735191517,0.0554758604,0.3677963436,0.2808062576,1,0.2833896033,0.6275207997,0.9308536819,0.0403065341
0.0928689741,0.3172288699,0.3951569659,0.2662970681,0.7053136808,0.3152366529,0.5268935279,0.5985853288,0.2595262925
0.265003378,0.0734397093,0.5690812798,0.2882403719,0.7141573893,0.2867556678,0.5880039828,0.7886429853,0.2034160925
0.1264351552,0.7059461383,0.4152531941,0.252559466,0.2466985345,0.3375648361,0.6818195866,0.4651839551,0.4313410924
0.3077403268,0.29530888,0.4859482961,0.2067766588,0.2537162898,0.1666058073,0.6617503127,0.3292835475,0.3247977921
0.0529588532,0.0709361289,0.3496545378,0.019779517,0.1752553166,0.5766484405,0.5898011532,0.3673595458,0.4257631366
0.0690612745,0.065361522,0.3413880102,0.0125492988,0.2551213122,0.2312739486,0.6918237799,0.3858112208,0.3574767373
0.0714523333,0.0722423378,0.3495769988,0.0603079129,0.2483552007,0.1791082455,0.6887528332,0.3826712323,0.4076045538
0.0876132906,0.1430759147,0.3423869043,0.4093012744,0.4070404533,0.1161826109,0.4858027772,0.4248832842,0.3356934324
0.0545972706,0.0859151033,0.3497240101,0.3440889425,0.3364928917,0.0597472345,0.4857246416,0.2746181506,0.4192830333
0.7854367301,0.189474708,0.4387901364,0.5112685909,0.4672578138,0.017661129,0.398725561,0.3045523471,0.3793951918
0.2477913336,0.1537600013,0.3287091759,0.8420661027,0.6264466718,0.0082966581,0.2953285754,0.2007238451,0.3845529029
0.171679103,0.1429180337,0.3587403368,0.2595763595,0.2953411689,0.1515893495,0.5851426417,0.5439252684,0.4161642917
0.1007900715,0.48728344,0.3612851597,0.2578564508,0.252492485,0.1211148273,0.6651301751,0.6124088067,0.329879325
0.1276468854,0.8210933267,0.432596526,0.2955487516,0.2342198162,0.1073418769,0.688155658,0.6642391745,0.4278439458
0.3136911977,0.0617665255,0.4108796181,0.2217149509,0.2040246939,0.3665508462,0.652534468,0.6624442253,0.3837836875
0.0938324298,0.0509910917,0.3707620417,0.1635057161,0.3459135372,0.2517962394,0.6858617509,0.4598473245,0.293474639
0.0557940888,0.1811177019,0.390473158,0.2183934203,0.2721874136,0.13422662,0.5741092483,0.5485491464,0.2792926626
0.0801887264,0.0357004196,0.3405901376,0.0120777567,0.26518033,0.2682351959,0.7473629329,0.4466671249,0.4187805019
0.3126224481,0.3940077337,0.3049808373,0.7819211352,0.5573763198,0.0160331633,0.3239165782,0.2249966376,0.3168195269
0.7672363124,0.370779622,0.5630012437,0.7176626931,0.4014493318,0.1792076094,0.5876993408,0.0827914318,0.8604962816
0.274039346,0.1493097147,0.4898855463,0.605760421,0.4150095246,0.046363328,0.4919264097,0.1633413931,0.3338046445
0.3710485798,0.2703047984,0.5812815694,0.6959111791,0.4323861382,0.0415682474,0.3945025689,0.0966554993,0.6619117801
0.4335155694,0.3614291947,0.5444178361,0.6440127843,0.4065493566,0.0240705062,0.3092808487,0,0.6582481705
0.0431679438,0.4231103342,0.4502778791,0.6645845843,0.4536561112,0.0313169369,0.3573826812,0.111435021,0.4005364609
0.3543696943,0.3008620266,0.609324465,0.7359578326,0.4492127907,0.0409388185,0.3574459922,0.1948819313,0.4209488937
0.0245534285,0.1418795871,0.4556899845,0.6524898289,0.4229619817,0.0262698298,0.4062082014,0.138671013,0.6216647526
0.3908791494,0.056805452,0.4325468684,0.242249839,0.4482343452,0.0678884864,0.5809903843,0.4577688,0.3207171573
0.7425896032,0.1571679284,0.4667145812,0.6536727299,0.5304687986,0.0491226368,0.3436211908,0.2598038573,0.552714668
0.6674772599,0.2735957976,0.4374812128,0.7472038567,0.5365970712,0.0354236527,0.3578046604,0.3134414669,0.2314151973
0.6749471378,0.14253095,0.4336899472,0.779352766,0.5993657893,0.0335328695,0.3540319355,0.2363657469,0.4297553943
0.0820648438,0.1271073193,0.4986079639,0.7386191517,0.5257057327,0.0463184418,0.3719898006,0.410011322,0.3499560403
0.080828081,0.1317586313,0.4038073845,0.7415742641,0.6256170351,0.0446718695,0.3230143941,0.3236573979,0.3423052456
0.1005645896,0.0471942878,0.2733868687,0.1800482911,0.3260724135,0.2540751385,0.7532008066,0.4572309334,0.4289084044
0.0789504978,0.0471448056,0.3538060361,0.0679876813,0.334279648,0.2306166481,0.6902953236,0.3640021552,0.3184829665
0.6340577182,0.1350625055,0.401124299,0.5032826852,0.373593642,0.0817213215,0.4932541906,0.0963614636,0.2647505677
0.0513015066,0.1033496261,0.3897605699,0.4559807926,0.5211527197,0.0505118065,0.2697574633,0.0900700709,0.4064449872
0.0753381916,0.2857543591,0.3677892227,0.1075027544,0.2640272988,0.1654049908,0.6518573322,0.260303035,0.341194189
0.0691673245,0.0403132188,0.3427918343,0.022524452,0.2804912198,0.2375389563,0.6922101479,0.3775185116,0.3270206773
0.072471792,0.0761211066,0.3660957558,0.063162508,0.3059553375,0.2466616045,0.6916962064,0.2731250682,0.3012813996
