City,cityID,clusterID,Country,modeCar,modePT,modeBike,modeWalk,gasPrice,rdDeath,subLen,subLenD,subStPHK,subRidPC,subAge,BRTLen,BRTLenD,BRTStPHK,BRTFlPHK,BRTRidPC,BRTAge,bsSt,bsStPHK,bsBikes,bsBikPHK,bsAge,congest,AMPeak,PMPeak,TI,TTI,inefInd,pop,land,popDen,poCh9000,poCh0010,poCh1020,poCh2025,ur15,urCh1525,GDPPCP,unemploy,costLiv,rent,grocery,restaPri,locPurPo,gini,poverty,lifeExp,safety,internet,digital,innovat,smartphon,CO2EmsPC,polluI,stLenT,stLenD,stLenAvg,intersT,intersD,k_avg,stPerNode,circuity,loopP,highwayP
Bursa,252,2,Turkey,,,,,1.47,8.5,38.9,0.187922705,2.010582011,48.30687831,15,0,0,0,0,0,0,0,0,0,0,0,30,34,53,146.5,39.06,110.01,1890000,207,9100,361424,479107,512549,216817,73.4,4.3,21507,,41.9,7.17,35.68,28.93,70.41,,,75.8,79.08,46.3,0.48,34,59,4.243452638,27.82,4269164.842,4403152874,80.54420124,32449,1031.385069,5.709081566,3.028263911,1.057703355,0.000300042,0.009200325
Adana,253,1,Turkey,,,,,1.47,11.4,13.9,0.085276074,1.155555556,12.44444444,8,0,0,0,0,0,0,0,0,0,0,0,27,29,36,,,,1125000,163,6900,216411,299771,439806,189038,73.4,4.3,14117,,,,,,,,,75.8,,46.3,0.48,34,59,4.243452638,,3610912.789,3563740322,87.14433799,25560,986.9361378,5.64403551,2.978435108,1.053201147,0.000496708,0.007129544
Kampala,254,3,Uganda,9,82,,,1.02,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2440000,751,3200,341827,497008,1075395,871153,16.1,3.8,662.4,,37.67,7.62,31.59,26.04,21.2,0.34,9.6,62.3,,31.1,0.17,,4,0.133852656,,3529527.901,2787714940,191.7388038,10638,789.8265771,4.868921489,2.503192067,1.075295383,0.000948528,0.009304222
Kiev,255,2,Ukraine,,,,,1.14,13.5,67.6,0.17377892,1.857142857,179.9642857,57,0,0,0,0,0,0,0,0,0,0,0,,,,140.88,36.42,108.69,2800000,389,7200,32491,198559,138521,26016,69.7,2.4,8668,,28.36,12.86,21.17,23.32,31.32,,,71.3,51.65,41.8,0.43,33,27,5.959632751,73.02,2987137.265,3692770164,195.7110178,9047,1236.223794,4.855137205,2.79624396,1.056966182,0.000826198,0
Kharkiv,256,2,Ukraine,,,,,1.11,13.5,38.1,0.096700508,1.880877743,144.8902821,42,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1595000,394,4100,-101844,-31306,-21628,-10693,69.7,2.4,2905.9,,26.1,10.55,19.01,18.64,25.37,,,71.3,46.64,41.8,0.43,30,27,5.959632751,,2666121.653,4222249375,181.8264784,8574,1583.667186,5.422668356,2.870675373,1.050967745,0.000575105,0
Odessa,257,2,Ukraine,,,,,1.12,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1010000,207,4900,-55370,-27388,24269,19372,69.7,2.4,2905.9,,28.74,7.54,20.56,28.56,40.34,,,71.3,,41.8,0.43,29,27,5.959632751,,1912328.192,2187179142,185.1058167,6102,1143.725826,5.488929629,2.921590749,1.047784112,0.000513848,0
Dubai,258,10,United Arab Emirates,50,1,0.2,19,0.61,10.9,74.6,0.049667111,1.29476584,45.26170799,8,0,0,0,0,0,0,0,0,0,0,0,29,37,52,164.59,35.24,212.08,3630000,1502,2400,432968,929213,1298623,350943,85.5,2.2,24866,0.8,69.1,76.4,56.5,64.61,120.08,,,75.75,78.15,93.2,0.64,49,,18.70823579,56.38,18612629.35,1235601191,164.6319466,71667,66.38509624,4.582954264,2.937476376,1.077865015,0.005596983,0.040731328
Sharjah,259,10,United Arab Emirates,,,,,0.61,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1400000,236,5945,214932,470154,628328,183503,85.5,2.2,40864,,59.43,31.13,49.42,46.12,114.17,,,77.1,,93.2,0.64,35,,18.70823579,,6504805.923,5677978860,114.0613709,36637,872.8898183,4.609768853,2.984651187,1.059933223,0.001837818,0.022326588
Abu Dhabi,260,10,United Arab Emirates,72,5,,12,0.61,10.9,0,0,0,0,0,0,0,0,0,0,0,11,0.648967552,75,4.424778761,2,20,23,25,109.04,24.27,90.32,1695000,803,2100,154693,383783,669841,185319,85.5,2.2,61009,,63.01,70.44,52.47,64.04,137.09,,,77.1,84.94,93.2,0.64,44,,18.70823579,56.58,38968263.02,263044588.6,194.0177099,126917,6.750226162,4.606203077,2.941590879,1.069916211,0.005068387,0.027096945
London,261,11,United Kingdom,43.8,41.6,3.5,9.2,1.71,1.6,436,0.250863061,3.043478261,140.7729469,127,20,0.01150748,0.38647343,0.173913043,0.260869565,,839,8.106280193,13600,131.4009662,8,40,64,68,176.58,46.68,238.83,10350000,1738,5600,570996,698281,872581,459672,82.6,2.2,69623,7.8,83.27,73.96,59.52,91.85,86.22,0.43,16,81.15,53.09,89.8,0.77,60,68,4.39,57.2,20621063.33,7795592595,104.1446806,114841,378.0402819,4.718903363,2.533595416,1.06554162,0.005613787,0.00935563
